numero,file_url,file_txt
104,http://contratos.gastosabertos.org/files/contrato-104.doc,http://contratos.gastosabertos.org/files/contrato-104.txt
105,http://contratos.gastosabertos.org/files/contrato-105.docx,http://contratos.gastosabertos.org/files/contrato-105.txt
106,http://contratos.gastosabertos.org/files/contrato-106.pdf,http://contratos.gastosabertos.org/files/contrato-106.txt
107,http://contratos.gastosabertos.org/files/contrato-107.pdf,
108,http://contratos.gastosabertos.org/files/contrato-108.pdf,http://contratos.gastosabertos.org/files/contrato-108.txt
109,http://contratos.gastosabertos.org/files/contrato-109.docx,http://contratos.gastosabertos.org/files/contrato-109.txt
110,http://contratos.gastosabertos.org/files/contrato-110.pdf,http://contratos.gastosabertos.org/files/contrato-110.txt
111,http://contratos.gastosabertos.org/files/contrato-111.doc,http://contratos.gastosabertos.org/files/contrato-111.txt
112,http://contratos.gastosabertos.org/files/contrato-112.docx,http://contratos.gastosabertos.org/files/contrato-112.txt
113,http://contratos.gastosabertos.org/files/contrato-113.docx,http://contratos.gastosabertos.org/files/contrato-113.txt
114,http://contratos.gastosabertos.org/files/contrato-114.pdf,http://contratos.gastosabertos.org/files/contrato-114.txt
115,http://contratos.gastosabertos.org/files/contrato-115.doc,http://contratos.gastosabertos.org/files/contrato-115.txt
116,http://contratos.gastosabertos.org/files/contrato-116.docx,http://contratos.gastosabertos.org/files/contrato-116.txt
117,http://contratos.gastosabertos.org/files/contrato-117.docx,http://contratos.gastosabertos.org/files/contrato-117.txt
118,http://contratos.gastosabertos.org/files/contrato-118.docx,http://contratos.gastosabertos.org/files/contrato-118.txt
119,http://contratos.gastosabertos.org/files/contrato-119.docx,http://contratos.gastosabertos.org/files/contrato-119.txt
120,http://contratos.gastosabertos.org/files/contrato-120.docx,http://contratos.gastosabertos.org/files/contrato-120.txt
121,http://contratos.gastosabertos.org/files/contrato-121.docx,http://contratos.gastosabertos.org/files/contrato-121.txt
122,http://contratos.gastosabertos.org/files/contrato-122.docx,http://contratos.gastosabertos.org/files/contrato-122.txt
123,http://contratos.gastosabertos.org/files/contrato-123.docx,http://contratos.gastosabertos.org/files/contrato-123.txt
124,http://contratos.gastosabertos.org/files/contrato-124.docx,http://contratos.gastosabertos.org/files/contrato-124.txt
125,http://contratos.gastosabertos.org/files/contrato-125.docx,http://contratos.gastosabertos.org/files/contrato-125.txt
126,http://contratos.gastosabertos.org/files/contrato-126.docx,http://contratos.gastosabertos.org/files/contrato-126.txt
127,http://contratos.gastosabertos.org/files/contrato-127.docx,http://contratos.gastosabertos.org/files/contrato-127.txt
128,http://contratos.gastosabertos.org/files/contrato-128.docx,http://contratos.gastosabertos.org/files/contrato-128.txt
129,http://contratos.gastosabertos.org/files/contrato-129.doc,http://contratos.gastosabertos.org/files/contrato-129.txt
130,http://contratos.gastosabertos.org/files/contrato-130.docx,http://contratos.gastosabertos.org/files/contrato-130.txt
131,http://contratos.gastosabertos.org/files/contrato-131.docx,http://contratos.gastosabertos.org/files/contrato-131.txt
132,http://contratos.gastosabertos.org/files/contrato-132.docx,http://contratos.gastosabertos.org/files/contrato-132.txt
133,http://contratos.gastosabertos.org/files/contrato-133.docx,http://contratos.gastosabertos.org/files/contrato-133.txt
